description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
GRAYSON HIGHLANDS,510169002806,6459 Troutdale Hwy.,Troutdale,VA,24378,6459 Troutdale Hwy. Troutdale VA 24378,36.6514089,-81.4070403
INDEPENDENCE ELEMENTARY,510169000696,PO Box 429,Independence,VA,24348,PO Box 429 Independence VA 24348,36.6223478,-81.150923
INDEPENDENCE MIDDLE,510169002189,PO Box 155,Independence,VA,24348,PO Box 155 Independence VA 24348,36.6223478,-81.150923
GRAYSON COUNTY HIGH CAREER & TECHNICAL EDUCATION,510169000695,PO Box 707,Independence,VA,24348,PO Box 707 Independence VA 24348,36.6223478,-81.150923
NATHANAEL GREENE ELEMENTARY,510171002190,8094 Spotswood Trail,Stanardsville,VA,22973,8094 Spotswood Trail Stanardsville VA 22973,38.2960662,-78.4463303
NATHANAEL GREENE PRIMARY,510171000700,64 Monroe Drive,Stanardsville,VA,22973,64 Monroe Drive Stanardsville VA 22973,38.2963596,-78.4443762
RUCKERSVILLE ELEMENTARY,510171001802,105 Progress Place,Ruckersville,VA,22968,105 Progress Place Ruckersville VA 22968,38.243007,-78.3887554
WILLIAM MONROE HIGH,510171000702,254 Monroe Drive,Stanardsville,VA,22973,254 Monroe Drive Stanardsville VA 22973,38.2940678,-78.4433991
WILLIAM MONROE MIDDLE,510171000106,148 Monroe Drive,Stanardsville,VA,22973,148 Monroe Drive Stanardsville VA 22973,38.2954054,-78.4429549
ALTERNATIVE EDUCATION CENTER,510171002439,254 Monroe Drive,Stanardsville,VA,22973,254 Monroe Drive Stanardsville VA 22973,38.2940678,-78.4433991
GREENE COUNTY TECHNICAL EDUCATION CENTER,510171001382,10415 Spotswood Trail,Standardsville,VA,22973,10415 Spotswood Trail Standardsville VA 22973,38.2812638,-78.4159734
EDWARD W. WYATT MIDDLE,510174000707,206 Slagles Lake Rd,Emporia,VA,23847,206 Slagles Lake Rd Emporia VA 23847,36.715886,-77.5332348
GREENSVILLE COUNTY HIGH,510174000706,403 Harding St,Emporia,VA,23847,403 Harding St Emporia VA 23847,36.680204,-77.5550177
GREENSVILLE ELEMENTARY,510174001827,1101 Sussex Dr,Emporia,VA,23847,1101 Sussex Dr Emporia VA 23847,36.7159944,-77.529562
BELFIELD ELEMENTARY,510174000703,515 Belfield Rd,Emporia,VA,23847,515 Belfield Rd Emporia VA 23847,36.720843,-77.5391246
CLAYS MILL ELEMENTARY,510177000710,1011 Clays Mill School Dr,Scottsburg,VA,24589,1011 Clays Mill School Dr Scottsburg VA 24589,36.8305105,-78.8728533
CLUSTER SPRINGS ELEMENTARY,510177002745,7091 Huell Matthews Hwy.,Alton,VA,24520,7091 Huell Matthews Hwy. Alton VA 24520,36.6097664,-78.9141572
HALIFAX COUNTY HIGH,510177001848,PO Box 310,South Boston,VA,24592,PO Box 310 South Boston VA 24592,36.6987493,-78.9013987
HALIFAX COUNTY MIDDLE,510177000714,1011 Middle School Cir,South Boston,VA,24592,1011 Middle School Cir South Boston VA 24592,36.7246647,-78.9168016
MEADVILLE ELEMENTARY,510177000716,1011 Meadville School Loop,Nathalie,VA,24577,1011 Meadville School Loop Nathalie VA 24577,36.8366762,-79.0434063
SCOTTSBURG ELEMENTARY,510177000717,1010 Scottsburg School Trail,Scottsburg,VA,24589,1010 Scottsburg School Trail Scottsburg VA 24589,36.7786837,-78.8120641
SINAI ELEMENTARY,510177002769,1011 Sinai Elementary Drive,Halifax,VA,24558,1011 Sinai Elementary Drive Halifax VA 24558,36.7529911,-78.9595481
SOUTH BOSTON ELEMENTARY,510177002759,2320 Parker Avenue,South Boston,VA,24592,2320 Parker Avenue South Boston VA 24592,36.7190848,-78.8901874
SYDNOR JENNINGS ELEMENTARY,510177000720,1011 Sydnor Jennings Rd,Nathalie,VA,24577,1011 Sydnor Jennings Rd Nathalie VA 24577,36.9247805,-79.013947
PACE ACADEMY,510177001907,P O Box 1849,Halifax,VA,24558,P O Box 1849 Halifax VA 24558,36.7659709,-78.9283441
SOUTH BOSTON/HALIFAX EARLY LEARNING CENTER,510177002836,1927 Jeffress Blvd.,South Boston,VA,24592,1927 Jeffress Blvd. South Boston VA 24592,36.7116086,-78.9040259
A.W.E. BASSETTE ELEMENTARY,510180000725,671 Bell St,Hampton,VA,23661,671 Bell St Hampton VA 23661,37.0163946,-76.3755759
ABERDEEN ELEMENTARY,510180000726,1424 Aberdeen Rd,Hampton,VA,23666,1424 Aberdeen Rd Hampton VA 23666,37.0335141,-76.4044325
ALBERT W. PATRICK III ELEMENTARY,510180000732,160 Apollo Dr,Hampton,VA,23669,160 Apollo Dr Hampton VA 23669,37.0565255,-76.3370567
ALFRED S. FORREST ELEMENTARY,510180000727,1406 Todds Ln,Hampton,VA,23666,1406 Todds Ln Hampton VA 23666,37.0413478,-76.4255312
ARMSTRONG ELEMENTARY,510180000728,3401 Matoaka Rd,Hampton,VA,23661,3401 Matoaka Rd Hampton VA 23661,37.0097306,-76.3646781
BARRON ELEMENTARY,510180000729,45 Fox Hill Rd,Hampton,VA,23669,45 Fox Hill Rd Hampton VA 23669,37.0480175,-76.3421563
BENJAMIN SYMS MIDDLE,510180000730,170 Fox Hill Rd,Hampton,VA,23669,170 Fox Hill Rd Hampton VA 23669,37.052781,-76.329181
BETHEL HIGH,510180000731,1067 Big Bethel Rd,Hampton,VA,23666,1067 Big Bethel Rd Hampton VA 23666,37.0534439,-76.4300963
C. ALTON LINDSAY MIDDLE,510180000734,1636 Briarfield Rd,Hampton,VA,23661,1636 Briarfield Rd Hampton VA 23661,37.0183413,-76.4000812
CAPTAIN JOHN SMITH ELEMENTARY,510180000735,379 Woodland Rd,Hampton,VA,23669,379 Woodland Rd Hampton VA 23669,37.0452624,-76.3235208
CESAR TARRANT MIDDLE,510180000744,1435 Todds Ln,Hampton,VA,23666,1435 Todds Ln Hampton VA 23666,37.042938,-76.4211467
CHRISTOPHER C. KRAFT ELEMENTARY,,,,,,   ,,
FRANCIS ASBURY ELEMENTARY,510180000739,140 Beach Rd,Hampton,VA,23664,140 Beach Rd Hampton VA 23664,37.0702739,-76.2989108
FRANCIS W. JONES MAGNET MIDDLE,510180001890,1819 Nickerson Blvd,Hampton,VA,23663,1819 Nickerson Blvd Hampton VA 23663,37.0445881,-76.3062513
GEORGE P. PHENIX ELEMENTARY,510180002816,1061 Big Bethel Road,Hampton,VA,23666,1061 Big Bethel Road Hampton VA 23666,37.0525247,-76.4287773
HAMPTON HIGH,510180000742,1491 W Queen St,Hampton,VA,23669,1491 W Queen St Hampton VA 23669,37.0237609,-76.3840312
HUNTER B. ANDREWS,510180002811,3120 Victoria Boulevard,Hampton,VA,23661,3120 Victoria Boulevard Hampton VA 23661,37.009664,-76.3689627
JANE H. BRYAN ELEMENTARY,510180000743,1021 N Mallory St,Hampton,VA,23663,1021 N Mallory St Hampton VA 23663,37.028236,-76.314077
KECOUGHTAN HIGH,510180000747,522 Woodland Rd,Hampton,VA,23669,522 Woodland Rd Hampton VA 23669,37.0542833,-76.3186806
LUTHER W. MACHEN ELEMENTARY,,,,,,   ,,
MARY S. PEAKE ELEMENTARY,510180000746,57 Salina St,Hampton,VA,23669,57 Salina St Hampton VA 23669,37.0492114,-76.3547664
MARY T. CHRISTIAN ELEMENTARY,510180000745,2009 Andrews Blvd,Hampton,VA,23663,2009 Andrews Blvd Hampton VA 23663,37.0468422,-76.3122343
