CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population,county
51063,37.333333333333336,49.666666666666664,27.0,68.66666666666667,43.0,25.0,26.666666666666668,16.666666666666668,-0.39342783,0.11164593500000002,0.07567990566666667,0.145602,0.024117799333333332,0.03859817866666667,0.17905638000000001,0.008749706666666668,15666,Floyd County
51065,23.75,21.25,33.25,48.5,32.75,22.5,18.25,49.25,-0.8321036575,0.053547263250000005,0.08661651149999999,0.1002151725,0.055149302,0.02975037925,0.167633635,0.005579388225000001,26282,Fluvanna County
51067,45.7,64.1,36.6,60.8,40.7,26.3,34.1,48.1,-0.1377802422,0.1608208183,0.09365085112,0.1295591828,0.0534940071,0.04310400783,0.18747237590000002,0.016329268299999998,56233,Franklin County
51069,31.928571428571427,26.142857142857142,40.214285714285715,53.642857142857146,34.214285714285715,32.714285714285715,42.714285714285715,33.0,-0.5827687247857144,0.06278602192857143,0.10232884657142857,0.11251923892857142,0.037135088014285715,0.034194307121428576,0.21887349842857143,0.01887759004285714,85153,Frederick County
51071,43.25,47.75,49.5,59.75,51.5,32.0,25.5,33.75,-0.23658837500000002,0.10688084974999999,0.13381090325,0.11821311500000001,0.042552888,0.050121755999999996,0.21374408,0.006647888000000001,16814,Giles County
51073,35.5,40.75,31.25,54.5,37.75,37.375,29.0,26.0,-0.46412749375,0.09816038275,0.082554492375,0.108338810375,0.033228140025,0.0405069449,0.24140099875,0.009086600725,37161,Gloucester County
51075,23.0,27.6,18.0,52.8,31.2,22.8,28.8,21.2,-0.847985566,0.065696235,0.05038280739999999,0.1158277424,0.026517475800000002,0.031192317599999998,0.16971350000000002,0.0088786774,22482,Goochland County
51077,60.0,75.6,34.0,77.4,59.2,29.4,32.8,67.8,0.25555065,0.20526129399999998,0.0874232698,0.18121166,0.0729703142,0.06442432940000001,0.20268656599999998,0.010876665,15811,Grayson County
51079,38.0,30.0,32.0,68.0,38.333333333333336,31.333333333333332,50.666666666666664,52.0,-0.39061248519999997,0.069523718,0.08379200333333332,0.14972261566666667,0.053490506,0.036101841333333336,0.20945987,0.02300648573333333,19410,Greene County
51081,47.0,46.0,37.666666666666664,84.0,44.333333333333336,29.666666666666668,28.666666666666668,42.666666666666664,-0.15126743,0.11027988,0.08706046666666667,0.24210457,0.048154886666666674,0.052477885,0.17888574666666668,0.012321466599999999,11659,Greensville County
51083,54.333333333333336,60.888888888888886,40.0,75.22222222222223,64.33333333333333,37.666666666666664,28.77777777777778,36.22222222222222,0.09876811255555557,0.14859650444444444,0.10992769933333334,0.17599126333333334,0.04268871155555556,0.07597166744444445,0.24688471777777776,0.014879668244444443,34779,Halifax County
51085,20.17391304347826,23.26086956521739,28.391304347826086,35.91304347826087,25.391304347826086,24.17391304347826,17.434782608695652,24.0,-1.0136672160869566,0.06069089493043478,0.08089554865217391,0.07168915502173913,0.03142332262173913,0.025108993439130433,0.18186486760869564,0.005277597734782609,104449,Hanover County
51087,43.77777777777778,40.17460317460318,52.666666666666664,42.82539682539682,43.03174603174603,53.55555555555556,32.80952380952381,48.04761904761905,-0.22669380214285714,0.10277289048125,0.149638512875,0.0903522256359375,0.05626357503125,0.054632363203125,0.365646182109375,0.0143812176796875,325642,Henrico County
51089,70.0,75.64285714285714,51.0,82.14285714285714,64.35714285714286,43.07142857142857,49.357142857142854,71.5,0.5688564183571428,0.20847945071428572,0.12720006337857143,0.210173075,0.08871775857142858,0.07676587321428571,0.27480545285714286,0.0255612198,51588,Henry County
51091,39.0,55.0,21.0,64.0,66.0,25.0,25.0,2.0,-0.33902058,0.12271062,0.06401138,0.13108614,0.0064350064,0.072128229,0.18076581,0.0062333038,2214,Highland County
51093,43.875,44.25,45.5,58.625,35.25,35.75,36.5,66.75,-0.220165878375,0.10280017275,0.114360363875,0.129988838625,0.07916017925,0.0428557075,0.23555443874999998,0.0143853036125,36372,Isle of Wight County
51095,29.636363636363637,33.90909090909091,36.72727272727273,26.363636363636363,38.45454545454545,41.72727272727273,31.363636363636363,35.72727272727273,-0.6473432881818182,0.08447304863636364,0.10832924909090909,0.05442475790909091,0.04238756109090909,0.03791414857272728,0.27614955090909094,0.011903158245454544,74153,James City County
51097,50.0,68.5,49.0,63.5,34.5,22.5,48.5,45.0,-0.0332438365,0.162978935,0.117331406,0.134460855,0.054089415,0.033591246000000005,0.1689287,0.0201678673,7052,King and Queen County
51099,34.5,38.75,38.375,46.5,42.0,31.25,33.375,34.0,-0.5082566025,0.09474862525,0.098780436875,0.09581496537499999,0.038810198525,0.0394709015625,0.2143717125,0.0149195984625,36698,King George County
51101,33.5,43.5,48.5,51.0,31.75,19.5,42.75,23.75,-0.51634892,0.10314000175,0.11766651325000001,0.1036547505,0.03093775475,0.030351468725,0.14979197325,0.0163600344,16497,King William County
51103,38.0,41.666666666666664,26.666666666666668,56.0,59.666666666666664,37.666666666666664,22.0,27.666666666666668,-0.38232905300000003,0.06895883950000001,0.05516698025,0.08200385825,0.026001266000000002,0.051874033750000006,0.1799588275,0.004973065150000001,10804,Lancaster County
51105,71.33333333333333,81.16666666666667,38.833333333333336,86.83333333333333,72.66666666666667,45.166666666666664,26.666666666666668,85.16666666666667,0.6268773186666666,0.24335292166666667,0.09961842983333334,0.24206942666666667,0.10521513283333334,0.10606287233333334,0.28798928166666665,0.0092053144,24134,Lee County
51107,20.359375,14.90625,31.265625,29.015625,26.3125,32.140625,36.078125,29.40625,-0.9997531450625,0.03977635481846154,0.08208826092307693,0.06653097377846154,0.03547237119076923,0.02707654373076923,0.2312342349384615,0.0176583393,385143,Loudoun County
51109,48.666666666666664,55.5,34.666666666666664,73.16666666666667,47.5,28.666666666666668,40.666666666666664,53.833333333333336,-0.06576319000000001,0.13001195366666665,0.08934306516666667,0.16417195833333334,0.06309703866666667,0.052387880666666664,0.20313932833333334,0.020818223166666667,35380,Louisa County
51111,64.33333333333333,72.33333333333333,40.666666666666664,86.0,58.333333333333336,44.666666666666664,49.0,34.666666666666664,0.3986621563333333,0.18660386666666665,0.10923651333333334,0.23480145333333335,0.04155345566666666,0.065462389,0.27696093,0.021968901366666668,12278,Lunenburg County
51113,43.5,38.0,25.0,64.0,44.5,43.5,58.5,47.0,-0.22424005549999998,0.0865823325,0.066833503,0.133212095,0.0518222285,0.041253278000000004,0.270802745,0.028343606,13139,Madison County
51115,25.0,49.5,11.5,47.5,32.0,14.5,17.0,23.0,-0.772212625,0.07203087000000001,0.028492368666666667,0.064297435,0.018976236666666667,0.018284299666666667,0.08543594666666667,0.003187384766666667,8796,Mathews County
51117,61.44444444444444,69.22222222222223,47.333333333333336,77.66666666666667,63.0,42.55555555555556,35.888888888888886,40.333333333333336,0.31146656666666667,0.17615369633333333,0.12418749657777778,0.19074885666666666,0.04510901688888889,0.08317405633333334,0.2733084477777778,0.014160106966666666,30847,Mecklenburg County
51119,38.5,37.75,24.75,67.75,53.0,27.5,39.5,45.5,-0.3598369225,0.0673182338,0.056051772799999997,0.114630176,0.0390095736,0.04444553180000001,0.150382185,0.013986165779999999,10700,Middlesex County
51121,49.8125,61.25,42.75,33.1875,45.5625,60.6875,34.625,42.75,-0.048023878725,0.2196539693125,0.107405686375,0.06934684405625,0.0522744517625,0.053991998624999996,0.427545704375,0.0150668824375,97997,Montgomery County
51125,51.333333333333336,50.333333333333336,48.666666666666664,63.666666666666664,63.666666666666664,41.666666666666664,37.0,34.333333333333336,-0.011083860000000001,0.12510622033333332,0.11587867333333333,0.14895177199999998,0.04229633833333333,0.06891454633333334,0.26253989333333333,0.015684925,14812,Nelson County
51127,16.333333333333332,16.333333333333332,20.666666666666668,37.333333333333336,25.666666666666668,18.0,34.0,41.333333333333336,-1.0676023866666666,0.04422177433333333,0.061801939,0.07206267233333334,0.04516008633333333,0.02266679166666667,0.14765555666666666,0.013297394666666665,21103,New Kent County
51131,67.66666666666667,74.66666666666667,60.333333333333336,74.66666666666667,69.33333333333333,56.666666666666664,32.333333333333336,23.333333333333332,0.49926380000000004,0.1422258325,0.107949475,0.1312244125,0.022618375,0.06977578300000001,0.25901809249999996,0.008310465825,11957,Northampton County
51133,41.333333333333336,62.333333333333336,40.333333333333336,49.333333333333336,41.333333333333336,17.0,34.0,56.666666666666664,-0.2755726683333333,0.11214015625,0.075063195,0.07155148775,0.047902867,0.029835719750000003,0.107269215,0.0085325983,12223,Northumberland County
51135,63.0,82.75,46.0,61.75,46.5,64.75,28.5,22.25,0.3780897825,0.258583735,0.1184198185,0.1568302,0.0260207945,0.05023876675,0.5114471,0.0278821261,15500,Nottoway County
51137,43.8,38.6,58.4,60.4,30.4,35.2,53.8,55.8,-0.21036310400000002,0.090529602,0.1593306146,0.13158524300000002,0.060359552999999996,0.043603161999999994,0.2427173518,0.033288791740000004,35612,Orange County
51139,67.0,78.45454545454545,46.81818181818182,73.54545454545455,51.36363636363637,42.63636363636363,58.09090909090909,65.36363636363636,0.4673315054545455,0.21572231545454545,0.11457493218181818,0.17306082636363637,0.07650253535454545,0.05298254790909091,0.2672961227272727,0.03454797794545455,43912,Page County
51141,62.25,71.75,41.0,80.0,48.0,37.75,52.75,57.0,0.31823017000000003,0.1800751975,0.1022606815,0.199099395,0.0633507335,0.046176395499999995,0.238569475,0.02337824225,17859,Patrick County
51143,57.625,63.75,47.3125,75.4375,48.625,38.375,39.0625,56.4375,0.18904946155,0.1575168679375,0.1188388529375,0.1834021724375,0.06325044904375,0.0499572118125,0.24744575562499999,0.0165273814625,61676,Pittsylvania County
51145,13.6,20.4,17.2,51.8,12.6,11.6,10.6,20.2,-1.174492764,0.05219780439999999,0.0546694998,0.115457328,0.028768969999999998,0.0107365824,0.108501553,0.0037528868,28574,Powhatan County
51147,51.0,58.8,38.0,72.0,46.4,39.8,14.2,57.6,-0.007822541999999988,0.151536212,0.0927409078,0.198648092,0.0604096902,0.059127169800000004,0.25057939,0.0041098366400000004,22956,Prince Edward County
51149,42.714285714285715,40.57142857142857,44.42857142857143,47.57142857142857,45.57142857142857,47.42857142857143,29.857142857142858,65.57142857142857,-0.22807802000000002,0.10643459214285714,0.13200128042857143,0.09590776185714286,0.085603417,0.050471245399999996,0.358491394,0.009285814114285714,37894,Prince George County
51153,31.951219512195124,26.573170731707318,41.451219512195124,46.109756097560975,24.390243902439025,34.09756097560975,48.5,41.48780487804878,-0.6184463660487804,0.06521142047951807,0.11078474108433735,0.10847815086144579,0.04706063676506024,0.02309852106385542,0.24367455737349397,0.030486139379638556,456749,Prince William County
51155,51.125,55.625,37.25,66.0,63.75,43.125,14.875,55.875,0.011720079862500003,0.10624152270000001,0.0754497268,0.11211069380000001,0.047594075,0.0581265308,0.222558715,0.00310466039,34234,Pulaski County
51157,38.5,39.0,32.0,58.0,35.5,43.0,35.5,41.0,-0.35696340000000004,0.08671746,0.084118072,0.11630451250000001,0.0450103285,0.0319498125,0.26444535,0.012033083,7332,Rappahannock County
51159,56.69230769230769,64.76923076923077,47.53846153846154,67.3076923076923,48.38461538461539,42.30769230769231,44.76923076923077,49.46153846153846,0.1728119737692308,0.17077651246153847,0.133173196,0.15475764007692308,0.05930818246153846,0.05467182124615385,0.29330497346153844,0.0211856403,72522,Richmond County
51161,30.61111111111111,32.0,40.72222222222222,40.333333333333336,41.44444444444444,33.333333333333336,24.27777777777778,31.11111111111111,-0.6387737866666667,0.07458677952777777,0.10484922605555555,0.07981155788333333,0.03774487477777778,0.04526748049444444,0.24020825533333331,0.008142086094444445,93583,Roanoke County
51163,45.0,58.5,30.5,65.75,35.75,32.0,19.5,60.25,-0.18023899899999998,0.13416111749999998,0.081369282,0.14386491,0.06637131025000001,0.032109438000000004,0.2131425425,0.00709995,22509,Rockbridge County
51165,45.473684210526315,43.05263157894737,36.05263157894737,72.05263157894737,50.8421052631579,39.0,38.10526315789474,35.31578947368421,-0.16242966005263157,0.10521234136842106,0.09425797578947369,0.181264817,0.04130093283157895,0.060017876842105265,0.25338040368421055,0.02098033110526316,79444,Rockingham County
51167,59.857142857142854,74.57142857142857,35.42857142857143,80.85714285714286,55.42857142857143,36.142857142857146,15.571428571428571,64.42857142857143,0.25207012285714286,0.20090190085714285,0.09256681771428572,0.20353433857142858,0.07262631357142857,0.058633862571428566,0.23271319714285715,0.004704298757142857,27408,Russell County
